=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Survey: GOA"
"Common Name: Pacific cod,Pacific cod (adult),Pacific cod (juvenile)"
=========================================================================
"Survey","Year","Cruise Join ID","Haul Join ID","Cruise Number","Vessel Number","Haul Number","Starting Latitude (dd)","Starting Longitude (dd)","Ending Latitude (dd)","Ending Longitude (dd)","Stratum","Stratum INPFC Area","Stratum Min Depth (m)","Stratum Max Depth (m)","Stratum Description","Stratum Regulatory Area Name","Stratum Type","Domain","Density","Gear Performance","Satifactory Gear Performance","Gear Performance Description","Gear Depth","Bottom Depth","Specimen ID","Biostratum","Species Code","Common Name","Scientific Name","Length (mm)","Sex","Weight (gm)","Age (years)","Maturity","Maturity Table","Gonad Weight","Specimen Subsample Method","Specimen Sample Type","Age Determination Method","AKFIN Load Date"
GOA,2009,-638,-5509,200901,159,181,57.7272,-150.842,57.73943,-150.8298,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,0,Y,"Good performance",75,82,442,0,21720,Pacific cod,Gadus macrocephalus,510,Male,1542,4,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5509,200901,159,181,57.7272,-150.842,57.73943,-150.8298,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,0,Y,"Good performance",75,82,443,0,21720,Pacific cod,Gadus macrocephalus,190,Male,56,1,,,,6,1,3,29-SEP-21
GOA,2009,-638,-5510,200901,159,182,57.62952,-150.9538,57.62947,-150.92751,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,0,Y,"Good performance",74,81,448,0,21720,Pacific cod,Gadus macrocephalus,230,Male,110,1,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5511,200901,159,183,57.62829,-151.04761,57.62897,-151.02271,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,1.1,Y,"Minor hang(s)",71,78,456,0,21720,Pacific cod,Gadus macrocephalus,600,Male,2504,4,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5511,200901,159,183,57.62829,-151.04761,57.62897,-151.02271,31,Kodiak,1,100,"Albatross Banks",CENTRAL GOA,SHELF,,,1.1,Y,"Minor hang(s)",71,78,461,0,21720,Pacific cod,Gadus macrocephalus,590,Female,2476,4,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5520,200901,159,192,57.65189,-150.2747,57.64044,-150.287,134,Kodiak,101,200,"Kodiak Outer Shelf",CENTRAL GOA,SHELF,,,1.1,Y,"Minor hang(s)",137,144,487,0,21720,Pacific cod,Gadus macrocephalus,680,Female,3402,6,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5770,200901,159,228,59.55296,-146.29491,59.54894,-146.26939,41,Yakutat,1,100,"Middleton Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",91,98,498,0,21720,Pacific cod,Gadus macrocephalus,250,Female,154,1,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5773,200901,159,231,59.50718,-145.8786,59.518,-145.8773,241,Yakutat,201,300,"Yakutat Slope",EASTERN GOA,SLOPE,,,0,Y,"Good performance",204,210,509,0,21720,Pacific cod,Gadus macrocephalus,760,Male,4642,5,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5788,200901,159,246,60.0208,-143.1279,60.01869,-143.15401,40,Yakutat,1,100,"Yakutat Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",90,97,519,0,21720,Pacific cod,Gadus macrocephalus,650,Male,3020,5,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5788,200901,159,246,60.0208,-143.1279,60.01869,-143.15401,40,Yakutat,1,100,"Yakutat Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",90,97,520,0,21720,Pacific cod,Gadus macrocephalus,600,Male,2312,4,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5799,200901,159,257,59.09285,-138.9016,59.08768,-138.8763,40,Yakutat,1,100,"Yakutat Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",64,70,548,0,21720,Pacific cod,Gadus macrocephalus,540,Female,1608,4,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5799,200901,159,257,59.09285,-138.9016,59.08768,-138.8763,40,Yakutat,1,100,"Yakutat Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",64,70,550,0,21720,Pacific cod,Gadus macrocephalus,560,Male,1766,4,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5810,200901,159,268,57.28241,-135.97,57.29534,-135.9684,50,Southeastern,1,100,"Southeastern Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",89,95,561,0,21720,Pacific cod,Gadus macrocephalus,270,Female,198,2,,,,6,1,6,29-SEP-21
GOA,2009,-638,-5816,200901,159,274,56.52189,-135.2666,56.53209,-135.2842,50,Southeastern,1,100,"Southeastern Shallows",EASTERN GOA,SHELF,,,0,Y,"Good performance",91,98,533,0,21720,Pacific cod,Gadus macrocephalus,360,Female,446,2,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7415,201101,143,1,52.77412,-169.86818,52.77308,-169.84613,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",109,118,2,0,21720,Pacific cod,Gadus macrocephalus,580,Male,1846,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7415,201101,143,1,52.77412,-169.86818,52.77308,-169.84613,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",109,118,11,0,21720,Pacific cod,Gadus macrocephalus,610,Female,2228,6,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7415,201101,143,1,52.77412,-169.86818,52.77308,-169.84613,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",109,118,15,0,21720,Pacific cod,Gadus macrocephalus,560,Female,1588,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7419,201101,143,5,52.65722,-169.4304,52.64363,-169.4291,210,Shumagin,201,300,"Shumagin Slope",WESTERN GOA,SLOPE,,,0,Y,"Good performance",243,250,32,0,21720,Pacific cod,Gadus macrocephalus,600,Female,2430,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7419,201101,143,5,52.65722,-169.4304,52.64363,-169.4291,210,Shumagin,201,300,"Shumagin Slope",WESTERN GOA,SLOPE,,,0,Y,"Good performance",243,250,34,0,21720,Pacific cod,Gadus macrocephalus,630,Male,2620,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7419,201101,143,5,52.65722,-169.4304,52.64363,-169.4291,210,Shumagin,201,300,"Shumagin Slope",WESTERN GOA,SLOPE,,,0,Y,"Good performance",243,250,35,0,21720,Pacific cod,Gadus macrocephalus,660,Male,3092,5,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7419,201101,143,5,52.65722,-169.4304,52.64363,-169.4291,210,Shumagin,201,300,"Shumagin Slope",WESTERN GOA,SLOPE,,,0,Y,"Good performance",243,250,39,0,21720,Pacific cod,Gadus macrocephalus,570,Male,2082,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7419,201101,143,5,52.65722,-169.4304,52.64363,-169.4291,210,Shumagin,201,300,"Shumagin Slope",WESTERN GOA,SLOPE,,,0,Y,"Good performance",243,250,40,0,21720,Pacific cod,Gadus macrocephalus,460,Male,1000,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7420,201101,143,6,52.62643,-169.27965,52.62845,-169.30027,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",125,133,44,0,21720,Pacific cod,Gadus macrocephalus,710,Male,3498,5,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7434,201101,143,20,53.74483,-166.12295,53.73342,-166.13462,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",63,71,60,0,21720,Pacific cod,Gadus macrocephalus,600,Female,2366,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7434,201101,143,20,53.74483,-166.12295,53.73342,-166.13462,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",63,71,65,0,21720,Pacific cod,Gadus macrocephalus,680,Female,3072,5,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7437,201101,143,23,53.74375,-164.47203,53.74227,-164.4937,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",124,131,93,0,21720,Pacific cod,Gadus macrocephalus,390,Male,590,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7440,201101,143,26,53.9844,-164.303,53.98245,-164.32658,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,105,94,0,21720,Pacific cod,Gadus macrocephalus,440,Female,934,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7440,201101,143,26,53.9844,-164.303,53.98245,-164.32658,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,105,96,0,21720,Pacific cod,Gadus macrocephalus,390,Female,634,3,,,,6,1,3,29-SEP-21
GOA,2011,-667,-7440,201101,143,26,53.9844,-164.303,53.98245,-164.32658,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,105,99,0,21720,Pacific cod,Gadus macrocephalus,470,Male,1200,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7440,201101,143,26,53.9844,-164.303,53.98245,-164.32658,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,105,102,0,21720,Pacific cod,Gadus macrocephalus,400,Male,676,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7440,201101,143,26,53.9844,-164.303,53.98245,-164.32658,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,105,103,0,21720,Pacific cod,Gadus macrocephalus,380,Male,498,2,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7440,201101,143,26,53.9844,-164.303,53.98245,-164.32658,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,105,106,0,21720,Pacific cod,Gadus macrocephalus,420,Male,702,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7443,201101,143,29,54.03707,-164.86332,54.0276,-164.88013,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",74,82,112,0,21720,Pacific cod,Gadus macrocephalus,350,Male,416,2,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7443,201101,143,29,54.03707,-164.86332,54.0276,-164.88013,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",74,82,115,0,21720,Pacific cod,Gadus macrocephalus,390,Male,634,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7445,201101,143,31,54.0195,-165.52195,54.01607,-165.5455,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",44,50,129,0,21720,Pacific cod,Gadus macrocephalus,640,Male,2366,6,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7445,201101,143,31,54.0195,-165.52195,54.01607,-165.5455,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",44,50,138,0,21720,Pacific cod,Gadus macrocephalus,840,Female,6805,6,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7445,201101,143,31,54.0195,-165.52195,54.01607,-165.5455,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",44,50,142,0,21720,Pacific cod,Gadus macrocephalus,760,Female,4194,6,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7445,201101,143,31,54.0195,-165.52195,54.01607,-165.5455,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",44,50,149,0,21720,Pacific cod,Gadus macrocephalus,730,Female,3928,5,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7446,201101,143,32,54.2692,-165.3431,54.27962,-165.3575,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",85,90,157,0,21720,Pacific cod,Gadus macrocephalus,380,Male,504,3,,,,6,1,3,29-SEP-21
GOA,2011,-667,-7446,201101,143,32,54.2692,-165.3431,54.27962,-165.3575,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",85,90,158,0,21720,Pacific cod,Gadus macrocephalus,510,Female,1400,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7446,201101,143,32,54.2692,-165.3431,54.27962,-165.3575,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",85,90,159,0,21720,Pacific cod,Gadus macrocephalus,330,Female,340,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7446,201101,143,32,54.2692,-165.3431,54.27962,-165.3575,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",85,90,160,0,21720,Pacific cod,Gadus macrocephalus,370,Female,522,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7455,201101,143,41,55.43842,-161.50752,55.45177,-161.50573,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",30,38,188,0,21720,Pacific cod,Gadus macrocephalus,400,Female,588,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7456,201101,143,42,55.27668,-161.57502,55.28573,-161.55715,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",92,100,192,0,21720,Pacific cod,Gadus macrocephalus,520,Female,1538,5,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7461,201101,143,47,55.82253,-159.81467,55.81118,-159.8284,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",84,92,206,0,21720,Pacific cod,Gadus macrocephalus,510,Female,1340,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7461,201101,143,47,55.82253,-159.81467,55.81118,-159.8284,12,Shumagin,1,100,"Lower Alaska Peninsula",WESTERN GOA,SHELF,,,0,Y,"Good performance",84,92,210,0,21720,Pacific cod,Gadus macrocephalus,640,Male,2576,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7467,201101,143,53,55.0013,-159.73832,55.01397,-159.73403,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",39,47,226,0,21720,Pacific cod,Gadus macrocephalus,600,Female,2190,5,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7467,201101,143,53,55.0013,-159.73832,55.01397,-159.73403,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",39,47,240,0,21720,Pacific cod,Gadus macrocephalus,460,Female,1124,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7467,201101,143,53,55.0013,-159.73832,55.01397,-159.73403,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",39,47,254,0,21720,Pacific cod,Gadus macrocephalus,430,Male,712,4,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7468,201101,143,54,54.87233,-160.064,54.8836,-160.05287,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",51,59,260,0,21720,Pacific cod,Gadus macrocephalus,440,Female,886,3,,,,1,1,6,29-SEP-21
GOA,2011,-667,-7468,201101,143,54,54.87233,-160.064,54.8836,-160.05287,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",51,59,262,0,21720,Pacific cod,Gadus macrocephalus,580,Female,2012,5,,,,1,1,6,29-SEP-21
GOA,2011,-667,-7468,201101,143,54,54.87233,-160.064,54.8836,-160.05287,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",51,59,264,0,21720,Pacific cod,Gadus macrocephalus,140,Female,22,1,,,,1,1,3,29-SEP-21
GOA,2011,-667,-7468,201101,143,54,54.87233,-160.064,54.8836,-160.05287,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",51,59,269,0,21720,Pacific cod,Gadus macrocephalus,590,Male,1890,5,,,,1,1,6,29-SEP-21
GOA,2011,-667,-7469,201101,143,55,54.8376,-160.15265,54.84485,-160.13348,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",62,70,271,0,21720,Pacific cod,Gadus macrocephalus,450,Female,732,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7472,201101,143,58,55.12835,-160.40822,55.13892,-160.39405,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,1.11,Y,"Completed tow",69,77,277,0,21720,Pacific cod,Gadus macrocephalus,510,Male,1454,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7475,201101,143,61,54.66043,-161.78693,54.64812,-161.78718,13,Shumagin,1,100,"Shumagin Bank",WESTERN GOA,SHELF,,,1.11,Y,"Completed tow",121,128,288,0,21720,Pacific cod,Gadus macrocephalus,440,Male,796,3,,,,6,1,6,29-SEP-21
GOA,2011,-667,-7481,201101,143,67,54.24032,-163.25448,54.23147,-163.27187,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",61,69,329,0,21720,Pacific cod,Gadus macrocephalus,160,Female,26,1,,,,6,1,3,29-SEP-21
GOA,2011,-667,-7483,201101,143,69,54.26525,-162.99968,54.25453,-163.0131,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",56,64,338,0,21720,Pacific cod,Gadus macrocephalus,360,Male,420,2,,,,6,1,7,29-SEP-21
GOA,2013,-686,-9736,201301,143,2,53.1056,-167.62227,53.10557,-167.6483,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,104,14,0,21720,Pacific cod,Gadus macrocephalus,550,Female,1760,5,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9736,201301,143,2,53.1056,-167.62227,53.10557,-167.6483,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,104,19,0,21720,Pacific cod,Gadus macrocephalus,590,Male,2228,5,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9736,201301,143,2,53.1056,-167.62227,53.10557,-167.6483,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",97,104,21,0,21720,Pacific cod,Gadus macrocephalus,500,Male,1426,3,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9737,201301,143,3,53.04738,-167.47644,53.05449,-167.45761,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",114,121,23,0,21720,Pacific cod,Gadus macrocephalus,640,Female,3020,5,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9737,201301,143,3,53.04738,-167.47644,53.05449,-167.45761,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",114,121,25,0,21720,Pacific cod,Gadus macrocephalus,580,Female,2290,4,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9737,201301,143,3,53.04738,-167.47644,53.05449,-167.45761,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",114,121,28,0,21720,Pacific cod,Gadus macrocephalus,680,Female,4170,6,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9737,201301,143,3,53.04738,-167.47644,53.05449,-167.45761,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",114,121,32,0,21720,Pacific cod,Gadus macrocephalus,510,Female,1612,3,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9737,201301,143,3,53.04738,-167.47644,53.05449,-167.45761,111,Shumagin,101,200,"Shumagin Outer Shelf",WESTERN GOA,SHELF,,,0,Y,"Good performance",114,121,40,0,21720,Pacific cod,Gadus macrocephalus,520,Male,1720,3,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9739,201301,143,5,53.28845,-167.28519,53.29209,-167.30639,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",65,72,48,0,21720,Pacific cod,Gadus macrocephalus,740,Female,4650,7,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9761,201301,143,13,53.68879,-165.94443,53.68745,-165.96774,10,Shumagin,1,100,"Fox Islands",WESTERN GOA,SHELF,,,0,Y,"Good performance",75,81,53,0,21720,Pacific cod,Gadus macrocephalus,570,Female,1930,6,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9766,201301,143,18,53.94345,-163.94506,53.95608,-163.95068,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",69,76,61,0,21720,Pacific cod,Gadus macrocephalus,610,Male,2402,5,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9766,201301,143,18,53.94345,-163.94506,53.95608,-163.95068,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",69,76,62,0,21720,Pacific cod,Gadus macrocephalus,600,Male,2382,6,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9766,201301,143,18,53.94345,-163.94506,53.95608,-163.95068,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",69,76,65,0,21720,Pacific cod,Gadus macrocephalus,650,Female,3328,5,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9766,201301,143,18,53.94345,-163.94506,53.95608,-163.95068,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",69,76,66,0,21720,Pacific cod,Gadus macrocephalus,530,Female,1626,4,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9767,201301,143,19,54.06809,-164.80895,54.08054,-164.81342,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",86,93,73,0,21720,Pacific cod,Gadus macrocephalus,190,Male,52,1,,,,6,1,3,29-SEP-21
GOA,2013,-686,-9767,201301,143,19,54.06809,-164.80895,54.08054,-164.81342,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",86,93,74,0,21720,Pacific cod,Gadus macrocephalus,310,Female,302,2,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9769,201301,143,21,54.48004,-164.9621,54.46921,-164.94846,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",72,79,93,0,21720,Pacific cod,Gadus macrocephalus,350,Female,422,3,,,,6,1,6,29-SEP-21
GOA,2013,-686,-9773,201301,143,25,54.6381,-163.14552,54.6381,-163.12201,11,Shumagin,1,100,"Davidson Bank",WESTERN GOA,SHELF,,,0,Y,"Good performance",60,68,105,0,21720,Pacific cod,Gadus macrocephalus,290,Male,262,2,,,,6,1,7,29-SEP-21
